Title,Price_GBP,Rating,Availability,Subcategory,URL
Most Wanted,Â35.28,3,In stock,Mystery,http://books.toscrape.com/catalogue/most-wanted_623/index.html
Hide Away (Eve Duncan #20),Â11.84,1,In stock,Mystery,http://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
Boar Island (Anna Pigeon #19),Â59.48,3,In stock,Mystery,http://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html
The Widow,Â27.26,2,In stock,Mystery,http://books.toscrape.com/catalogue/the-widow_609/index.html
Playing with Fire,Â13.71,3,In stock,Mystery,http://books.toscrape.com/catalogue/playing-with-fire_602/index.html
What Happened on Beale Street (Secrets of the South Mysteries #2),Â25.37,5,In stock,Mystery,http://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Â52.30,5,In stock,Mystery,http://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html
Delivering the Truth (Quaker Midwife Mystery #1),Â20.89,4,In stock,Mystery,http://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html
The Mysterious Affair at Styles (Hercule Poirot #1),Â24.80,4,In stock,Mystery,http://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html
In the Woods (Dublin Murder Squad #1),Â38.38,2,In stock,Mystery,http://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html
The Silkworm (Cormoran Strike #2),Â23.05,5,In stock,Mystery,http://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html
The Exiled,Â43.45,3,In stock,Mystery,http://books.toscrape.com/catalogue/the-exiled_247/index.html
The Cuckoo's Calling (Cormoran Strike #1),Â19.21,1,In stock,Mystery,http://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html
Extreme Prey (Lucas Davenport #26),Â25.40,3,In stock,Mystery,http://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/index.html
Career of Evil (Cormoran Strike #3),Â24.72,2,In stock,Mystery,http://books.toscrape.com/catalogue/career-of-evil-cormoran-strike-3_137/index.html
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Â57.70,4,In stock,Mystery,http://books.toscrape.com/catalogue/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html
The Girl You Lost,Â12.29,5,In stock,Mystery,http://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html
The Girl In The Ice (DCI Erika Foster #1),Â15.85,3,In stock,Mystery,http://books.toscrape.com/catalogue/the-girl-in-the-ice-dci-erika-foster-1_65/index.html
Blood Defense (Samantha Brinkman #1),Â20.30,3,In stock,Mystery,http://books.toscrape.com/catalogue/blood-defense-samantha-brinkman-1_8/index.html
1st to Die (Women's Murder Club #1),Â53.98,1,In stock,Mystery,http://books.toscrape.com/catalogue/1st-to-die-womens-murder-club-1_2/index.html
Tipping the Velvet,Â53.74,1,In stock,Historical Fiction,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Â29.69,3,In stock,Historical Fiction,http://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
A Flight of Arrows (The Pathfinders #2),Â55.53,5,In stock,Historical Fiction,http://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html
The House by the Lake,Â36.95,1,In stock,Historical Fiction,http://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html
Mrs. Houdini,Â30.25,5,In stock,Historical Fiction,http://books.toscrape.com/catalogue/mrs-houdini_821/index.html
The Marriage of Opposites,Â28.08,4,In stock,Historical Fiction,http://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html
Glory over Everything: Beyond The Kitchen House,Â45.84,3,In stock,Historical Fiction,http://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html
"Love, Lies and Spies",Â20.55,2,In stock,Historical Fiction,http://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html
A Paris Apartment,Â39.01,4,In stock,Historical Fiction,http://books.toscrape.com/catalogue/a-paris-apartment_612/index.html
Lilac Girls,Â17.28,2,In stock,Historical Fiction,http://books.toscrape.com/catalogue/lilac-girls_597/index.html
The Constant Princess (The Tudor Court #1),Â16.62,3,In stock,Historical Fiction,http://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html
The Invention of Wings,Â37.34,1,In stock,Historical Fiction,http://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html
World Without End (The Pillars of the Earth #2),Â32.97,4,In stock,Historical Fiction,http://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html
The Passion of Dolssa,Â28.32,5,In stock,Historical Fiction,http://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html
Girl With a Pearl Earring,Â26.77,1,In stock,Historical Fiction,http://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html
Voyager (Outlander #3),Â21.07,5,In stock,Historical Fiction,http://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html
The Red Tent,Â35.66,5,In stock,Historical Fiction,http://books.toscrape.com/catalogue/the-red-tent_273/index.html
The Last Painting of Sara de Vos,Â55.55,2,In stock,Historical Fiction,http://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html
The Guernsey Literary and Potato Peel Pie Society,Â49.53,1,In stock,Historical Fiction,http://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html
Girl in the Blue Coat,Â46.83,2,In stock,Historical Fiction,http://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html
Between Shades of Gray,Â20.79,5,In stock,Historical Fiction,http://books.toscrape.com/catalogue/between-shades-of-gray_128/index.html
While You Were Mine,Â41.32,5,In stock,Historical Fiction,http://books.toscrape.com/catalogue/while-you-were-mine_97/index.html
The Secret Healer,Â34.56,3,In stock,Historical Fiction,http://books.toscrape.com/catalogue/the-secret-healer_80/index.html
Starlark,Â25.83,3,In stock,Historical Fiction,http://books.toscrape.com/catalogue/starlark_56/index.html
Lost Among the Living,Â27.70,4,In stock,Historical Fiction,http://books.toscrape.com/catalogue/lost-among-the-living_31/index.html
A Spy's Devotion (The Regency Spies of London #1),Â16.97,5,In stock,Historical Fiction,http://books.toscrape.com/catalogue/a-spys-devotion-the-regency-spies-of-london-1_3/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â52.29,5,In stock,Sequential Art,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Â16.28,1,In stock,Sequential Art,http://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
This One Summer,Â19.49,4,In stock,Sequential Art,http://books.toscrape.com/catalogue/this-one-summer_947/index.html
The Nameless City (The Nameless City #1),Â38.16,4,In stock,Sequential Art,http://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
"Saga, Volume 5 (Saga (Collected Editions) #5)",Â51.04,2,In stock,Sequential Art,http://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Â50.40,3,In stock,Sequential Art,http://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Â13.61,5,In stock,Sequential Art,http://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
"Pop Gun War, Volume 1: Gift",Â18.97,1,In stock,Sequential Art,http://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
Patience,Â10.16,3,In stock,Sequential Art,http://books.toscrape.com/catalogue/patience_916/index.html
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Â15.44,4,In stock,Sequential Art,http://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
orange: The Complete Collection 1 (orange: The Complete Collection #1),Â48.41,1,In stock,Sequential Art,http://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Â46.91,2,In stock,Sequential Art,http://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Â45.61,3,In stock,Sequential Art,http://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Â19.92,2,In stock,Sequential Art,http://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Â29.17,2,In stock,Sequential Art,http://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
I am a Hero Omnibus Volume 1,Â54.63,3,In stock,Sequential Art,http://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html
"Giant Days, Vol. 2 (Giant Days #5-8)",Â22.11,2,In stock,Sequential Art,http://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html
Danganronpa Volume 1,Â51.99,4,In stock,Sequential Art,http://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html
"Codename Baboushka, Volume 1: The Conclave of Death",Â36.72,4,In stock,Sequential Art,http://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html
Camp Midnight,Â17.08,4,In stock,Sequential Art,http://books.toscrape.com/catalogue/camp-midnight_886/index.html
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Â37.92,2,In stock,Sequential Art,http://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html
The Shadow Hero (The Shadow Hero),Â33.14,1,In stock,Sequential Art,http://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html
"Fables, Vol. 1: Legends in Exile (Fables #1)",Â41.62,4,In stock,Sequential Art,http://books.toscrape.com/catalogue/fables-vol-1-legends-in-exile-fables-1_806/index.html
Batman: The Long Halloween (Batman),Â36.50,2,In stock,Sequential Art,http://books.toscrape.com/catalogue/batman-the-long-halloween-batman_793/index.html
Batman: The Dark Knight Returns (Batman),Â15.38,5,In stock,Sequential Art,http://books.toscrape.com/catalogue/batman-the-dark-knight-returns-batman_792/index.html
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Â37.34,4,In stock,Sequential Art,http://books.toscrape.com/catalogue/wonder-woman-earth-one-volume-one-wonder-woman-earth-one-1_783/index.html
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Â53.90,1,In stock,Sequential Art,http://books.toscrape.com/catalogue/we-are-robin-vol-1-the-vigilante-business-we-are-robin-1_778/index.html
Through the Woods,Â25.38,2,In stock,Sequential Art,http://books.toscrape.com/catalogue/through-the-woods_772/index.html
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Â11.89,5,In stock,Sequential Art,http://books.toscrape.com/catalogue/superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Â35.43,4,In stock,Sequential Art,http://books.toscrape.com/catalogue/so-cute-it-hurts-vol-6-so-cute-it-hurts-6_734/index.html
Robin War,Â47.82,3,In stock,Sequential Art,http://books.toscrape.com/catalogue/robin-war_730/index.html
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Â25.48,2,In stock,Sequential Art,http://books.toscrape.com/catalogue/red-hoodarsenal-vol-1-open-for-business-red-hoodarsenal-1_729/index.html
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Â38.39,2,In stock,Sequential Art,http://books.toscrape.com/catalogue/naruto-3-in-1-edition-vol-14-includes-vols-40-41-42-naruto-omnibus-14_721/index.html
Lowriders to the Center of the Earth (Lowriders in Space #2),Â51.51,2,In stock,Sequential Art,http://books.toscrape.com/catalogue/lowriders-to-the-center-of-the-earth-lowriders-in-space-2_712/index.html
El Deafo,Â57.62,5,In stock,Sequential Art,http://books.toscrape.com/catalogue/el-deafo_691/index.html
Batman: Europa,Â32.01,2,In stock,Sequential Art,http://books.toscrape.com/catalogue/batman-europa_668/index.html
Art Ops Vol. 1,Â48.80,3,In stock,Sequential Art,http://books.toscrape.com/catalogue/art-ops-vol-1_664/index.html
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Â10.90,2,In stock,Sequential Art,http://books.toscrape.com/catalogue/adulthood-is-a-myth-a-sarahs-scribbles-collection_659/index.html
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Â33.95,4,In stock,Sequential Art,http://books.toscrape.com/catalogue/fruits-basket-vol-9-fruits-basket-9_563/index.html
Roller Girl,Â14.10,5,In stock,Sequential Art,http://books.toscrape.com/catalogue/roller-girl_540/index.html
"Fruits Basket, Vol. 7 (Fruits Basket #7)",Â19.57,1,In stock,Sequential Art,http://books.toscrape.com/catalogue/fruits-basket-vol-7-fruits-basket-7_468/index.html
"Fruits Basket, Vol. 6 (Fruits Basket #6)",Â20.96,4,In stock,Sequential Art,http://books.toscrape.com/catalogue/fruits-basket-vol-6-fruits-basket-6_427/index.html
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Â36.39,3,In stock,Sequential Art,http://books.toscrape.com/catalogue/death-note-vol-6-give-and-take-death-note-6_425/index.html
"Fruits Basket, Vol. 5 (Fruits Basket #5)",Â16.33,1,In stock,Sequential Art,http://books.toscrape.com/catalogue/fruits-basket-vol-5-fruits-basket-5_376/index.html
"Death Note, Vol. 5: Whiteout (Death Note #5)",Â52.41,1,In stock,Sequential Art,http://books.toscrape.com/catalogue/death-note-vol-5-whiteout-death-note-5_368/index.html
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",Â27.88,2,In stock,Sequential Art,http://books.toscrape.com/catalogue/the-demon-prince-of-momochi-house-vol-4-the-demon-prince-of-momochi-house-4_344/index.html
"Fruits Basket, Vol. 4 (Fruits Basket #4)",Â50.44,4,In stock,Sequential Art,http://books.toscrape.com/catalogue/fruits-basket-vol-4-fruits-basket-4_321/index.html
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",Â14.41,3,In stock,Sequential Art,http://books.toscrape.com/catalogue/the-wicked-the-divine-vol-3-commercial-suicide-the-wicked-the-divine_287/index.html
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Â55.55,5,In stock,Sequential Art,http://books.toscrape.com/catalogue/the-sandman-vol-3-dream-country-the-sandman-volumes-3_279/index.html
"Saga, Volume 3 (Saga (Collected Editions) #3)",Â21.57,5,In stock,Sequential Art,http://books.toscrape.com/catalogue/saga-volume-3-saga-collected-editions-3_216/index.html
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Â43.63,3,In stock,Sequential Art,http://books.toscrape.com/catalogue/prodigy-the-graphic-novel-legend-the-graphic-novel-2_207/index.html
Persepolis: The Story of a Childhood (Persepolis #1-2),Â39.13,1,In stock,Sequential Art,http://books.toscrape.com/catalogue/persepolis-the-story-of-a-childhood-persepolis-1-2_206/index.html
Original Fake,Â31.45,3,In stock,Sequential Art,http://books.toscrape.com/catalogue/original-fake_203/index.html
"Grayson, Vol 3: Nemesis (Grayson #3)",Â42.72,1,In stock,Sequential Art,http://books.toscrape.com/catalogue/grayson-vol-3-nemesis-grayson-3_164/index.html
"Fruits Basket, Vol. 3 (Fruits Basket #3)",Â45.17,2,In stock,Sequential Art,http://books.toscrape.com/catalogue/fruits-basket-vol-3-fruits-basket-3_159/index.html
"Black Butler, Vol. 1 (Black Butler #1)",Â49.31,1,In stock,Sequential Art,http://books.toscrape.com/catalogue/black-butler-vol-1-black-butler-1_130/index.html
Awkward,Â38.02,2,In stock,Sequential Art,http://books.toscrape.com/catalogue/awkward_124/index.html
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",Â54.81,1,In stock,Sequential Art,http://books.toscrape.com/catalogue/the-sandman-vol-2-the-dolls-house-the-sandman-volumes-2_110/index.html
"Saga, Volume 2 (Saga (Collected Editions) #2)",Â11.75,3,In stock,Sequential Art,http://books.toscrape.com/catalogue/saga-volume-2-saga-collected-editions-2_107/index.html
"Fruits Basket, Vol. 2 (Fruits Basket #2)",Â11.64,5,In stock,Sequential Art,http://books.toscrape.com/catalogue/fruits-basket-vol-2-fruits-basket-2_100/index.html
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Â18.51,4,In stock,Sequential Art,http://books.toscrape.com/catalogue/y-the-last-man-vol-1-unmanned-y-the-last-man-1_98/index.html
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",Â36.52,2,In stock,Sequential Art,http://books.toscrape.com/catalogue/the-wicked-the-divine-vol-1-the-faust-act-the-wicked-the-divine_86/index.html
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Â54.12,3,In stock,Sequential Art,http://books.toscrape.com/catalogue/the-sandman-vol-1-preludes-and-nocturnes-the-sandman-volumes-1_79/index.html
The Complete Maus (Maus #1-2),Â10.64,3,In stock,Sequential Art,http://books.toscrape.com/catalogue/the-complete-maus-maus-1-2_62/index.html
"Skip Beat!, Vol. 01 (Skip Beat! #1)",Â42.12,3,In stock,Sequential Art,http://books.toscrape.com/catalogue/skip-beat-vol-01-skip-beat-1_55/index.html
"Saga, Volume 1 (Saga (Collected Editions) #1)",Â28.48,1,In stock,Sequential Art,http://books.toscrape.com/catalogue/saga-volume-1-saga-collected-editions-1_48/index.html
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",Â46.96,5,In stock,Sequential Art,http://books.toscrape.com/catalogue/rat-queens-vol-1-sass-sorcery-rat-queens-collected-editions-1-5_46/index.html
"Paper Girls, Vol. 1 (Paper Girls #1-5)",Â21.71,4,In stock,Sequential Art,http://books.toscrape.com/catalogue/paper-girls-vol-1-paper-girls-1-5_44/index.html
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",Â29.87,3,In stock,Sequential Art,http://books.toscrape.com/catalogue/ouran-high-school-host-club-vol-1-ouran-high-school-host-club-1_43/index.html
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",Â39.39,4,In stock,Sequential Art,http://books.toscrape.com/catalogue/ms-marvel-vol-1-no-normal-ms-marvel-2014-2015-1_34/index.html
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",Â45.24,3,In stock,Sequential Art,http://books.toscrape.com/catalogue/hawkeye-vol-1-my-life-as-a-weapon-hawkeye-1_24/index.html
"Giant Days, Vol. 1 (Giant Days #1-4)",Â56.76,4,In stock,Sequential Art,http://books.toscrape.com/catalogue/giant-days-vol-1-giant-days-1-4_22/index.html
"Fruits Basket, Vol. 1 (Fruits Basket #1)",Â40.28,5,In stock,Sequential Art,http://books.toscrape.com/catalogue/fruits-basket-vol-1-fruits-basket-1_21/index.html
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",Â34.65,5,In stock,Sequential Art,http://books.toscrape.com/catalogue/bleach-vol-1-strawberry-and-the-soul-reapers-bleach-1_7/index.html
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",Â57.06,4,In stock,Sequential Art,http://books.toscrape.com/catalogue/ajin-demi-human-volume-1-ajin-demi-human-1_4/index.html
The Secret Garden,Â15.08,4,In stock,Classics,http://books.toscrape.com/catalogue/the-secret-garden_413/index.html
The Metamorphosis,Â28.58,1,In stock,Classics,http://books.toscrape.com/catalogue/the-metamorphosis_409/index.html
The Pilgrim's Progress,Â50.26,2,In stock,Classics,http://books.toscrape.com/catalogue/the-pilgrims-progress_353/index.html
The Hound of the Baskervilles (Sherlock Holmes #5),Â14.82,2,In stock,Classics,http://books.toscrape.com/catalogue/the-hound-of-the-baskervilles-sherlock-holmes-5_348/index.html
Little Women (Little Women #1),Â28.07,4,In stock,Classics,http://books.toscrape.com/catalogue/little-women-little-women-1_331/index.html
Gone with the Wind,Â32.49,3,In stock,Classics,http://books.toscrape.com/catalogue/gone-with-the-wind_324/index.html
Candide,Â58.63,3,In stock,Classics,http://books.toscrape.com/catalogue/candide_316/index.html
Animal Farm,Â57.22,3,In stock,Classics,http://books.toscrape.com/catalogue/animal-farm_313/index.html
Wuthering Heights,Â17.73,3,In stock,Classics,http://books.toscrape.com/catalogue/wuthering-heights_307/index.html
The Picture of Dorian Gray,Â29.70,2,In stock,Classics,http://books.toscrape.com/catalogue/the-picture-of-dorian-gray_270/index.html
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Â26.78,4,In stock,Classics,http://books.toscrape.com/catalogue/the-complete-stories-and-poems-the-works-of-edgar-allan-poe-cameo-edition_238/index.html
Beowulf,Â38.35,2,In stock,Classics,http://books.toscrape.com/catalogue/beowulf_126/index.html
And Then There Were None,Â35.01,2,In stock,Classics,http://books.toscrape.com/catalogue/and-then-there-were-none_119/index.html
The Story of Hong Gildong,Â43.19,4,In stock,Classics,http://books.toscrape.com/catalogue/the-story-of-hong-gildong_84/index.html
The Little Prince,Â45.42,2,In stock,Classics,http://books.toscrape.com/catalogue/the-little-prince_72/index.html
Sense and Sensibility,Â37.46,1,In stock,Classics,http://books.toscrape.com/catalogue/sense-and-sensibility_49/index.html
Of Mice and Men,Â47.11,2,In stock,Classics,http://books.toscrape.com/catalogue/of-mice-and-men_37/index.html
Emma,Â32.93,2,In stock,Classics,http://books.toscrape.com/catalogue/emma_17/index.html
Alice in Wonderland (Alice's Adventures in Wonderland #1),Â55.53,1,In stock,Classics,http://books.toscrape.com/catalogue/alice-in-wonderland-alices-adventures-in-wonderland-1_5/index.html
Sophie's World,Â15.94,5,In stock,Philosophy,http://books.toscrape.com/catalogue/sophies-world_966/index.html
The Death of Humanity: and the Case for Life,Â58.11,4,In stock,Philosophy,http://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
The Stranger,Â17.44,4,In stock,Philosophy,http://books.toscrape.com/catalogue/the-stranger_861/index.html
Proofs of God: Classical Arguments from Tertullian to Barth,Â54.21,1,In stock,Philosophy,http://books.toscrape.com/catalogue/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html
Kierkegaard: A Christian Missionary to Christians,Â47.13,1,In stock,Philosophy,http://books.toscrape.com/catalogue/kierkegaard-a-christian-missionary-to-christians_527/index.html
"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Â29.93,5,In stock,Philosophy,http://books.toscrape.com/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html
Critique of Pure Reason,Â20.75,1,In stock,Philosophy,http://books.toscrape.com/catalogue/critique-of-pure-reason_366/index.html
"Run, Spot, Run: The Ethics of Keeping Pets",Â20.02,1,In stock,Philosophy,http://books.toscrape.com/catalogue/run-spot-run-the-ethics-of-keeping-pets_106/index.html
The Nicomachean Ethics,Â36.34,1,In stock,Philosophy,http://books.toscrape.com/catalogue/the-nicomachean-ethics_75/index.html
Meditations,Â25.89,2,In stock,Philosophy,http://books.toscrape.com/catalogue/meditations_33/index.html
